"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MAGI2",35.7386207136394,1.28714415298733,0.312607812935019,4.1174407667632,3.83102950137136e-05,0.00552875316702649
"TIMP1",1999.66096533916,-1.71756506174579,0.416922479147418,-4.11962690344284,3.79486374450238e-05,0.00552875316702649
"SHISA2",636.514742216607,1.49922887812696,0.364398240670591,4.11425937558858,3.88424493754114e-05,0.00552920687897625
"PPM1E",39.5002545382017,1.12444446355182,0.273946413431255,4.10461465608491,4.04989374990982e-05,0.00569979349211322
"TMEM35A",52.2352080254611,1.14592512887889,0.279254476910792,4.10351569491564,4.06918834036297e-05,0.00569979349211322
"PLIN2",3604.49662702071,-1.37514282663501,0.335502282622888,-4.09875848201218,4.15372187306578e-05,0.00572657608468572
"CXCR1",240.835909720049,-1.64466688084608,0.402167037184314,-4.08951189127995,4.32281907582442e-05,0.00577772818309998
"ZNF385D",101.073041133387,2.00680827085455,0.490526836723457,4.09112839627553,4.29279370272108e-05,0.00577772818309998
"GREM2",254.926110712382,1.57112915102045,0.383986063279305,4.09163066389116,4.28350481473377e-05,0.00577772818309998
"ITGA1",6170.22845600539,1.06059266092991,0.259624775095916,4.08509804404483,4.40582090206349e-05,0.0058006443217906
"IGSF6",668.605285292872,-1.46949261001478,0.359895623516826,-4.08310775122853,4.44374058184876e-05,0.00580637715280521
"DRAM1",1858.22417803791,-1.26727109096405,0.310958096126502,-4.0753757716876,4.59401022667403e-05,0.00587205758768209
"CSF2RA",1156.41265870311,-1.39899451463944,0.343034130297481,-4.07829539709715,4.53671021697809e-05,0.00587205758768209
"CLEC4A",216.568880336209,-2.68219150664523,0.661382559656641,-4.05543125908506,5.00418880760313e-05,0.00617030576283966
"CTSK",10528.6517230636,-1.27082524200403,0.313902171283307,-4.04847547504561,5.15523348949773e-05,0.00622503332190454
"CILP",146.809276707202,1.93797445463535,0.47853042163654,4.04984587606283,5.12513762894533e-05,0.00622503332190454
"ANKRD35",102.188377238073,1.02557929874155,0.254481653457012,4.03007165667757,5.57598521578706e-05,0.00654079682539401
"KCNQ4",159.121513842114,1.31113495601891,0.327189052643749,4.00727024765864,6.14245655566115e-05,0.00693859818277878
"PDZD2",550.915872540142,1.0499193396885,0.26245310697357,4.00040735579569,6.32335394152937e-05,0.00709432054867417
"PRTG",95.2419971090916,1.2087091491135,0.303027979686504,3.98877077411782,6.64165616746596e-05,0.00725965293820612
"SRPK3",37.6766452635697,1.51117149730518,0.379252642209498,3.98460374198371,6.75928230929118e-05,0.0072606303038883
"GFRA1",325.99215356454,1.07670785484835,0.270662952718678,3.97803926999739,6.94858975419375e-05,0.00732908783169749
"SDC4",5550.53511850128,-1.40267865933185,0.353617450718928,-3.96665565141118,7.28881813265661e-05,0.00764191117872363
"GLP2R",152.192487926703,-1.39791826378005,0.352608476041429,-3.96450556003028,7.35482326637192e-05,0.00766521431969679
"C13H1orf162",2044.36273394015,-1.35873581041767,0.343889965085935,-3.95107722924724,7.78002113600414e-05,0.00796610468247348
"ASPN",1270.37299484321,1.42347322776773,0.361478375515856,3.93792083893354,8.21906985837831e-05,0.00810392030392309
