"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CTSK",10528.6517230636,1.3824897446477,0.351437867032244,3.93380985470431,8.36099344268147e-05,0.0113888193331401
"MS4A4A",226.042873448582,1.78837539214939,0.457413840937418,3.90975355814402,9.23903306887529e-05,0.0124774852527211
"OASL",1209.38168411284,1.85106333819903,0.473902244517954,3.90600247120986,9.38355522677473e-05,0.0125794837422468
"PTX3",83.9759842548968,2.1051051853089,0.53924302713161,3.90381531033709,9.46880492082563e-05,0.0126011132347805
"TIMP1",1999.66096533916,1.80489092198144,0.466797322775475,3.86654086028161,0.000110389975765393,0.014273971901806
"KCNQ3",4.61313968213713,-2.34720940265348,0.607563676569973,-3.86331423877206,0.000111858962854749,0.0142749931710719
"CHI3L1",461.254857004745,2.49367144885261,0.645512881741914,3.86308549276887,0.000111963801199171,0.0142749931710719
"NLGN3",52.250356510667,-1.3396473205245,0.347167548048127,-3.85879189473892,0.000113948914305583,0.0144271986501347
"SLC37A2",1080.20171346631,1.37730766438787,0.358884828132001,3.83774279775708,0.000124170438530981,0.0156129340365299
"DHX58",1620.4848096653,1.75377366388106,0.461543725289019,3.79979960248154,0.000144813143292181,0.0178394137061017
"CLEC4E",216.668841292914,2.06167111868669,0.543603342403117,3.79260199095286,0.000149076990568824,0.0181198112803387
"C13H1orf162",2044.36273394015,1.4514588755237,0.384924042067639,3.77076700048953,0.000162746572595343,0.0193934347160673
"BATF2",485.968579685141,2.34708543431925,0.624911163596616,3.75587054776046,0.000172739970227312,0.0204506177739244
"DDX43",18.51611626973,1.83278051685495,0.491432050239144,3.72946883696956,0.000191883834691405,0.0216860717775066
"BPI",645.518663408543,2.17862214295115,0.58686306607554,3.71231769196177,0.000205369980880181,0.0226927605539846
"SPINK2",34.2665020452197,2.48395355231141,0.669758012990758,3.70873286191753,0.000208299044865678,0.0228777601565726
"PKIB",1487.01208375188,1.17615007465956,0.318069780041912,3.69777372281195,0.000217498633836252,0.023482401797441
"HAVCR1",1378.58832478004,1.27600978238427,0.346019512044041,3.68768158433175,0.000226306591051421,0.0242707162826442
"CXCL16",2190.20721602594,1.61799531108878,0.441317579884909,3.66628338601587,0.00024610119563526,0.0257868793035751
"CD84",1461.35554742584,1.41304414531329,0.386473050102522,3.65625531958424,0.000255926460062759,0.0264225007161517
"FPR2",131.80768752538,2.4117178748473,0.663707618196367,3.63370527733457,0.000279379977166189,0.0281417444402982
"CD36",11444.9658775947,1.47254306877593,0.4060496139967,3.62651020470592,0.000287277471394243,0.0284691016803132
"MS4A6A",275.586060429106,1.23032786461332,0.339452886324674,3.62444366855833,0.000289584126399054,0.0285389069865273
"CGA",9.64346136448534,2.56423214841151,0.707858266415249,3.62252200768574,0.000291744630778642,0.02855062499878
"CXHXorf21",153.542677478833,1.72833701886263,0.478038539259535,3.61547632025603,0.000299795879427831,0.0290738216687671
"HERC5",1055.73855840639,1.65550852072042,0.459988060507398,3.5990249809838,0.000319412508776762,0.0308123220106769
"KLB",2054.66598791405,-1.72767875092834,0.482630317889699,-3.57971450795428,0.000343969794123567,0.0328338077825176
"IFIH1",2701.41365458989,1.27662660374251,0.357661718878037,3.56936886549449,0.000357842283900833,0.0336297964952577
"MYBPC1",512.459002493901,1.15964515354676,0.325680299811652,3.56068559939734,0.000369887756421521,0.0343725356597412
"MCOLN2",321.490619920783,1.65826597149821,0.465855658510576,3.55961324329512,0.000371401356130376,0.0343725356597412
"SLC26A9",129.966060851326,-1.11950042612634,0.314324136114132,-3.56161139887725,0.000368585657633573,0.0343725356597412
"NUAK2",338.871570096618,1.48326909340854,0.417145252523921,3.55576165480508,0.000376885641500582,0.0344870807462379
"FBXO39",6.46132928579662,2.53779452109337,0.713849028926111,3.55508576499871,0.000377855815390979,0.0344870807462379
"GLIPR2",805.079446977814,1.21293651204693,0.342095239710809,3.54561061145513,0.000391704554154176,0.0353745282008578
